YEAR,IMO,NAME,TYPE,GT,LDT,BUILT,LAST FLAG,PREVIOUS_FLAG,BENEFICIAL OWNER,BO COUNTRY,COMMERCIAL OPERATOR,REGISTERED OWNER,RO COUNTRY,PLACE,COUNTRY,ARRIVAL
2017,9149770,Sudair,Container Ship,48154,,1998,Liberia,,United Arab Shipping Co Ltd,United Arab Emirates,United Arab Shipping Co Ltd,United Arab Shipping Co Ltd,United Arab Emirates,Aliaga,Turkey,17-Nov
2017,9154531,Asir,Container Ship,48154,,1998,Liberia,,United Arab Shipping Co Ltd,United Arab Emirates,United Arab Shipping Co Ltd,United Arab Shipping Co Ltd,United Arab Emirates,Aliaga,Turkey,17-Dec
2017,7125225,Nabil J,General Cargo With Container Capacity,1773,,1971,Sierra Leone,,Anglian Ship Management Company Limited ,United Kingdom,Anglian Ship Management Company Limited ,Dani Maritime Company Limited ,Marshall Islands,Aliaga,Turkey,17-Jun
2017,9204489,Boma,Container Ship,16802,,1999,Palau,Marshall Islands,Borealis Maritime Ltd,United Kingdom,Simatech Shipping & Forwarding,Bomar Eight LLC,Marshall Islands,Alang,India,17-Jul
2017,8200838,Duke,Research,2031,,1983,Bahamas,,Gardline Shipping Ltd,United Kingdom,Gardline Marine Sciences Ltd,Gardline CGGV Pte Ltd,Singapore,Jiangyin,China,17-Dec
2017,9007374,Chenan,General Cargo With Container Capacity,18391,,1992,Hong Kong,,John Swire & Sons Limited ,United Kingdom,The China Navigation Company Limited (CNC) ,The China Navigation Company Limited (CNC) ,Hong Kong,Alang,India,17-Mar
2017,7635323,Sapphire 1,Tender,6593,,1977,St Kitts & Nevis,,KCA Deutag Drilling Ltd,United Kingdom,KCA Deutag Drilling Ltd,KCA Deutag Tender Barges,Singapore,Chittagong,Bangladesh,17-Oct
2017,7219909,Unity,Fpso,96896,,1972,Liberia,,Petrofac Services Ltd,United Kingdom,Petrofac FPF004 Ltd,Petrofac FPF004 Ltd,United Kingdom,Alang,India,17-Oct
2017,8609929,Kaya Pioneer 1,General Cargo,5890,,1988,Panama,,Sea Pioneer Limited ,United Kingdom,Sea Pioneer Denizcilik ve Ticaret Limited Sirketi ,Vandrana Management S.A. ,Panama,Alang,India,17-Apr
2017,7400675,Bachir,Liquefied Gas Tanker,80654,,1979,Tanzania ,,Sonatrach Petroleum Corp,United Kingdom,Hyproc Shipping Co,Hyproc Shipping Co,Algeria,Aliaga,Turkey,17-Aug
2017,7400663,Ben,Tanker,80328,,1977,Tanzania ,,Sonatrach Petroleum Corp,United Kingdom,Hyproc Shipping Co,Hyproc Shipping Co,Algeria,Aliaga,Turkey,17-Sep
2017,7359955,Mostefa,Liquefied Gas Tanker,81337,,1976,Togo,,Sonatrach Petroleum Corp,United Kingdom,Izmir Gemi Geri Donusum Demir,Izmir Gemi Geri Donusum Demir,Turkey,Aliaga,Turkey,17-Oct
2017,8813910,Seven Discovery,Cable-Layer,8248,,1990,Isle Of Man,,Subsea 7 Int'l Contracting Ltd,United Kingdom,Subsea 7 Int'l Contracting Ltd,Subsea 7 Offshore Resources UK,United Kingdom,Ghent,Belgium,17-Jul
2017,8122141,Pacific Bear,Tug/Supply Ship (O.R.S.V.),583,,1982,United Arab Emirates,,Swire & Sons Ltd,United Kingdom,Swire Pacific Offshore Ops,Al-Ali Marine Services LLC,United Arab Emirates,Alang,India,17-Sep
2017,8213823,Acon,General Cargo With Container Capacity,12057,,1983,Palau,,Alfa Ship Trading LLC ,United States of America,Alfa Ship Trading LLC ,Alfa Ship Trading LLC ,United States of America,Gadani,Pakistan,17-Apr
2017,8902319,Atlantic Action,General Cargo,16075,,1993,Malta,,Atlantic Ro-Ro Carriers Inc,United States Of America,Atlantic Ro-Ro Carriers Inc,Atlantic Action Shipping Ltd,Malta,Chittagong,Bangladesh,17-Oct
2017,8750869,Atwood Eagle,"Platform, Semi-Submersible",10415,,1982,Marshall Islands,,Atwood Oceanics Inc,United States Of America,Atwood Oceanics Inc,Atwood Oceanics Pacific Ltd,Cayman Islands,Zhoushan,China,17-Sep
2017,8753108,Quest,Drill Platform,18842,,1973,Marshall Islands,,Diamond Offshore Drilling Incorporated ,United States of America,Diamond Offshore Services Company ,Diamond Offshore Services Company ,United States of America,Alang,India,17-Jan
2017,8753275,Spur,Drill Platform,4852,,1981,St Kitts & Nevis,Marshall Islands,Diamond Offshore Drilling Incorporated ,United States of America,Diamond Offshore Services Company ,Diamond Offshore Services Company ,United States of America,Alang,India,17-May
2017,8753885,Ensco 99,"Platform, Jack-Up (Self-Elev.)",4597,,1985,Liberia,,ENSCO International Inc,United States Of America,ENSCO Offshore Co,ENSCO Global GmbH,Switzerland,Pascagoula,United States of America,17-Jul
2017,8753835,Ensco 90,"Platform, Jack-Up (Self-Elev.)",4699,,1982,Liberia,,ENSCO International Inc,United States Of America,ENSCO Offshore Co,ENSCO Global GmbH,Switzerland,Pascagoula,United States of America,17-Jul
2017,8751069,Smile,"Platform, Jack-Up (Self-Elev.)",5395,,1983,St Kitts & Nevis,Liberia,ENSCO International Inc,United States Of America,ENSCO Asia Pacific Pte Ltd,ENSCO Offshore Co,United States Of America,Alang,India,17-Nov
2017,8851522,Fairfield New Venture,Research,2912,,1986,United States Of America,,Fairfield International Corp,United States Of America,Fairfield Industries,Fairfield Industries,United States Of America,Unknown,United States of America,17-Aug
2017,8912041,Horncliff,Fully Cellular Refrigerated,12887,,1992,Liberia,,Fresh Del Monte Produce Inc ,United States of America,Schiffahrtskontor Horn-Linie OHG (HORN-LINIE),Horncliff Shipping Corporation ,Cayman Islands,Aliaga,Turkey,17-Apr
2017,9173757,Horn,Tanker,81526,,1999,Comoros,Marshall Islands,GENMAR,United States Of America,Navig8 Suez8 Pool,GMR Horn LLC,Marshall Islands,Chittagong,Bangladesh,17-Sep
2017,9182746,Nix 1,Tanker,80058,,1999,Comoros,Marshall Islands,GENMAR,United States Of America,Navig8 Suez8 Pool,GMR Phoenix LLC,Marshall Islands,Chittagong,Bangladesh,17-Sep
2017,7403469,Heli,Drill Ship,17284,,1975,St Kitts & Nevis,Bahamas,Helix Energy Solutions Group Incorporated ,United States of America,Helix Energy Solutions Group Incorporated ,Helix Offshore International Sarl ,Luxembourg,Alang,India,17-May
2017,7422362,Paragon Dpds2,Drilling Ship,17232,,1981,Liberia,,Noble Corp,United States Of America,PETROBRAS,Paragon Asset Co Ltd,Cayman Islands,Brownsville,United States of America,17-Nov
2017,5315474,Paragon Dpds3,Drilling Ship,18225,,1963,Unknown,,Noble Corp,United States Of America,PETROBRAS,Paragon Asset Co Ltd,Cayman Islands,Brownsville,United States of America,17-Nov
2017,8641654,Osg 252,Tank Barge,16928,,1972,United States Of America,,Overseas Shipholding Group,United States Of America,OSG Ship Management Inc,OSG 252 LLC,United States Of America,Brownsville,United States of America,17-Nov
2017,7208065,Osg Navigator,Tug,762,,1972,United States Of America,,Overseas Shipholding Group,United States Of America,OSG Ship Management Inc,Overseas Navigator LLC,United States Of America,Brownsville,United States of America,17-Nov
2017,,Pacific Breeze,Fishing,1091,,1975,United States of America,,Pacific Breeze Fisheries LLC,United States Of America,Pacific Breeze Fisheries LLC,Pacific Breeze Fisheries LLC,United States Of America,Busan,Korea (South),17-Mar
2017,9226865,Seacor Venture,Tug/Supply Ship (O.R.S.V.),1576,,2000,United States Of America,,SEACOR Holdings Inc,United States Of America,SEACOR Marine LLC,Graham Offshore LLC,United States Of America,Unknown,United States of America,17-Nov
2017,9190664,Seacor Spirit,Supply Ship (O.R.S.V.),1106,,1998,Mexico,,SEACOR Holdings Inc,United States Of America,SEACOR Marine LLC,Empresarial del Mar y Nav,Mexico,Unknown,United States of America,17-Dec
2017,6800012,Putford Guardian,Stand-By Safety Vessel,638,,1967,United Kingdom,,SEACOR Holdings Inc,United States Of America,Boston Putford Offshore Safety,Boston Putford Offshore Safety,United Kingdom,Grenaa,Denmark,17-Dec
2017,8207393,Heimdal,Cable Ship,10471,,1983,Marshall Islands,,SEACOR Holdings Inc,United States of America,SEACOR Offshore Dubai LLC ,SEACOR Offshore (Marshall Islands) Limited ,Marshall Islands,Alang,India,17-Jan
2017,9234329,Fury,Tug/Supply Ship (O.R.S.V.),1476,,2001,St Kitts & Nevis,Marshall Islands,SEACOR Holdings Inc,United States Of America,SEACOR Marine LLC,SEACOR Arafura 2000 LLC,Marshall Islands,Alang,India,17-Sep
2017,9218519,Core,Tug/Supply Ship (O.R.S.V.),1527,,2000,Comoros,Marshall Islands,SEACOR Holdings Inc,United States Of America,SEACOR Marine LLC,SEACOR 2000 LLC,Marshall Islands,Alang,India,17-Sep
2017,8754487,Transocean Searcher,"Platform, Semi-Submersible",14962,,1983,Marshall Islands,,Transocean Inc,United States Of America,Transocean Inc,Transocean Offshore Intl-CAY,Cayman Islands,Aliaga,Turkey,17-Oct
2017,6620589,Cape Breton,General Cargo,11292,,1967,United States Of America,,United States Govt,United States Of America,United States Govt MARAD,United States Govt MARAD,United States Of America,Brownsville,United States of America,17-Sep
2017,6610560,Cape Borda,General Cargo,11292,,1967,United States Of America,,United States Govt,United States Of America,United States Govt MARAD,United States Govt MARAD,United States Of America,Brownsville,United States of America,17-Sep
2017,8646537,Marine,General Cargo Barge,15029,,1985,Comoros,Marshall Islands,Vanmarc Shipping Ltd Co,United States Of America,Vanmarc Shipping Ltd Co,Tri Dog Logistics Inc,United States Of America,Gadani,Pakistan,17-Sep
2017,7634331,Trom Mar 1,Tug,1094,,1978,Comoros,Marshall Islands,Vanmarc Shipping Ltd Co,United States Of America,Vanmarc Shipping Ltd Co,Tri Dog Logistics Inc,United States Of America,Gadani,Pakistan,17-Sep
2017,8312215,Bernardo Quintana A.,Bulk Carrier,37007,,1984,Bahamas,,Vulica Shipping Company Limited ,United States Of America,Vulica Shipping Company Limited ,Vulica Shipping Company Limited ,United States of America,Alang,India,17-Jun
2017,9037006,F1,Tanker,11194,,1993,Panama,,Unknown owners,Unknown,Auburn Shipmanagement,Iship Inc,Panama,Alang,India,17-Nov
2017,8616324,Baltic Merchant,Refrigerated Cargo,10298,,1988,St Vincent & The Grenadines,,Baltic Reefers Ltd,Unknown,Baltic Reefers Ltd,Angler Holding Corp,Panama,Alang,India,17-Sep
2017,7113715,Chief Ahmad,General Cargo,2123,,1971,Tanzania,,Unknown owners,Unknown,Unknown owners,Asal Shipping Incorporated ,St Kitts & Nevis,Gadani,Pakistan,16-Dec
2017,7610050,Alfa,General Cargo With Container Capacity,2803,,1977,Togo,,Unknown owners,Unknown,Unknown owners,Unknown owners,Unknown,Busan,Korea (South),17-Jan
2017,9236638,Erwi,Fully Cellular Containership,27093,,2002,St Kitts & Nevis,Marshall Islands,Unknown owners,Unknown,Unknown owners,Berwick Shipping LLC ,Marshall Islands,Alang,India,17-Feb
2017,8911035,Tian Feng 3,General Cargo,2510,,1990,Togo,,Unknown owners,Unknown,Unknown owners,Unknown owners,Unknown,Jiangyin,China,17-Feb
2017,8306888,Rehina B.,General Cargo With Container Capacity,14348,,1985,Palau,,Unknown owners,Unknown,Unknown owners,Cleopatra Maritime Limited,Marshall Islands,Gadani,Pakistan,17-Feb
2017,8325016,Ja Gang,General Cargo,3992,,1984,Korea (South),,Unknown owners,Unknown,Korea Marine & Industrial Trdg,Korea Marine & Industrial Trdg,Korea (South),Zhangjiagang,China,17-Jul
2017,9062295,Haci Ali Sari,Bulk Carrier,16712,,1992,Turkey,,Unknown owners,Unknown,T ve O Denizcilik Ltd Sti,Bade Denizcilik Ltd Sti,Turkey,Gadani,Pakistan,17-Aug
2017,9065895,Harma,General Cargo,7662,,1994,Panama,,Unknown owners,Unknown,Chrismar Corp,Chrismar Corp,Liberia,Aliaga,Turkey,17-Aug
2017,6705298,Via,General Cargo,1219,,1967,Unknown,,Unknown owners,Unknown,Unknown owners,Unknown owners,Unknown,Grenaa,Denmark,17-Aug
2017,8913631,Sirus I,Tanker,28223,,1992,Comoros,Tanzania,Unknown owners,Unknown,Unknown owners,Unknown owners,Unknown,Alang,India,17-Aug
2017,7832751,Nefterudovoz-35M,Ore/Oil Carrier,2615,,1980,Russia,,Unknown owners,Unknown,Metship Ltd,KaspRegionFlot LLC,Russia,Aliaga,Turkey,17-Aug
2017,9048172,Nan Gui,"Ferry, Twin-Hull",503,,1992,China,,Unknown owners,Unknown,Yuet Hing Marine Supplies Co,Panyu Lianhuashan Port,China,Unknown,China,17-Sep
2017,8102505,Gol,Liquefied Gas Tanker,15405,,1982,Niue,Marshall Islands,Unknown owners,Unknown,Mountridge Investments Ltd,Mountridge Investments Ltd,Seychelles,Alang,India,17-Sep
2017,7402984,Haj Amin 1,General Cargo,3368,,1975,Togo,,Unknown owners,Unknown,MK Shipping Co SA,MK Shipping Co SA,Honduras,Aliaga,Turkey,17-Sep
2017,8117835,Ribo,General Cargo,1992,,1990,Cook Islands,,Unknown owners,Unknown,Vedelmar Shipping SA,Althea Shipping Co SA,Marshall Islands,Bahia Honda,Cuba,17-Sep
2017,8756150,Adriatic I,"Platform, Jack-Up (Self-Elev.)",6390,,1979,St Kitts & Nevis,Palau,Unknown owners,Unknown,Hermes Maritime Services Pvt,Taurus Maritime Ltd,Marshall Islands,Alang,India,17-Sep
2017,7703699,Seba Star,General Cargo,2465,,1980,Togo,,Unknown owners,Unknown,Uni-marine Management Co,Titraan Euro Co SA,Belize,Gadani,Pakistan,17-Sep
2017,7000736,Cemalettin Erem,Roro Cargo/Ferry,1077,,1971,Turkey,,Unknown owners,Unknown,Gestas Deniz Ulasim Turizm,Canakkale Il Ozel Idaresi,Turkey,Aliaga,Turkey,17-Sep
2017,7341685,Rakan-M,Bulk Carrier,3658,,1975,Tanzania ,,Unknown owners,Unknown,Individual Shipping Ltd,RMM Shipping Co SA-BZE,Belize,Alang,India,17-Sep
2017,8417326,Eksel,General Cargo,2863,,1985,Togo,,Unknown owners,Unknown,Unknown owners,Unknown owners,Unknown,Aliaga,Turkey,17-Sep
2017,8403911,Ming Yue,General Cargo,3726,,1984,Palau,,Unknown owners,Unknown,Total Bless International Ltd,Brilliant Investment HKG Ltd,Hong Kong  ,Zhangjiagang,China,17-Sep
2017,8010908,Sea Merchant,General Cargo,10322,,1981,Tanzania ,,Unknown owners,Unknown,Al Ryadh Trading FZCO,Yasmine Shipping Inc,Panama,Alang,India,17-Sep
2017,7306702,Joy K,General Cargo,5202,,1973,Sierra Leone,,Unknown owners,Unknown,ISM Group Inc,Barri Shipping Co SA,Belize,Aliaga,Turkey,17-Oct
2017,9176450,Pacific Lohas,General Cargo,9340,,1998,Hong Kong,,Unknown owners,Unknown,Yangtze Navigation HK Co Ltd,One Star Shipping Ltd,Hong Kong  ,Jiangyin,China,17-Oct
2017,9148611,Fair,Bulk Carrier,87441,,1997,Liberia,,Unknown owners,Unknown,Mitsui OSK Lines Ltd,Triumph Sea Ltd,Hong Kong  ,Alang,India,17-Oct
2017,7632644,Crystal Sun,General Cargo,4722,,1977,Tanzania ,,Unknown owners,Unknown,MMH Management Co Ltd,Crystal Sun Shipping Co,Marshall Islands,Gadani,Pakistan,17-Oct
2017,7366817,Great Ocean 1,Tug/Supply Ship (O.R.S.V.),758,,1974,Tanzania ,,Unknown owners,Unknown,Trans Seas Marine Services LLC,Great Ocean Shipping & Trading,St Kitts & Nevis,Alang,India,17-Oct
2017,7812062,Hao Xiang,Refrigerated Cargo,3835,,1980,Panama,,Unknown owners,Unknown,Kongtong Shipping Co Ltd,Kongtong Shipping Co Ltd,Hong Kong  ,Chittagong,Bangladesh,17-Oct
2017,8113152,Alteya,General Cargo,1902,,1982,Comoros,,Unknown owners,Unknown,South River Shipping Co Ltd,Monta LLC,United States Of America,Aliaga,Turkey,17-Oct
2017,9086344,Admiral 1,Tanker,27627,,1995,Panama,,Unknown owners,Unknown,Aurum Ship Management FZE,Admiral Tanker SA,Panama,Chittagong,Bangladesh,17-Oct
2017,8301620,Black Sea,Bulk Carrier,12866,,1983,Cook Islands,,Unknown owners,Unknown,Zeb Denizcilik Tasimaciligi,ZT Shipping & Trading Co Inc,Marshall Islands,Chittagong,Bangladesh,17-Oct
2017,7824065,Novoyelnya,Fishing,3918,,1979,Tanzania ,,Unknown owners,Unknown,Unknown owners,Unknown owners,Unknown,Chittagong,Bangladesh,17-Oct
2017,7302299,Uni,Refrigerated Cargo,2910,,1973,Comoros,Kiribati,Unknown owners,Unknown,Fengrun Shipping Co Ltd,Max Step Shipping Ltd,Hong Kong  ,Chittagong,Bangladesh,17-Oct
2017,8827765,Arion,Tanker,1591,,1988,Panama,,Unknown owners,Unknown,Fareast Ship Management India,Victory Group HK Ltd,Hong Kong  ,Alang,India,17-Oct
2017,7729198,Mega Star,General Cargo,8553,,1979,Tanzania ,,Unknown owners,Unknown,Tasnem Shipping Co Ltd,Zeko Maritime SA - MAI,Marshall Islands,Gadani,Pakistan,17-Oct
2017,7006376,Green Star,Refrigerated Cargo,1812,,1970,Thailand,,Unknown owners,Unknown,All Oil Co Ltd,All Oil Co Ltd,Thailand,Chittagong,Bangladesh,17-Oct
2017,8914180,Hillaa,Tanker,3932,,1989,Panama,,Unknown owners,Unknown,Hillaa Shipping Corp,Hillaa Shipping Corp,Panama,Alang,India,17-Oct
2017,8017437,Demo II,Tug/Supply Ship (O.R.S.V.),740,,1980,Panama,Egypt,Unknown owners,Unknown,Maridive SAE,Ships & Boats Oil Services,Egypt,Unknown,Unknown,17-Nov
2017,8518730,Merlion Dua,Tanker,740,,1985,St Kitts & Nevis,,Unknown owners,Unknown,Sentek Marine & Trading Pte,Dutaryo Overseas Trading Corp,Panama,Unknown,Unknown,17-Nov
2017,8616312,Baltic Mercury,Refrigerated Cargo,10298,,1987,St Vincent & The Grenadines,,Unknown owners,Unknown,Baltic Reefers Ltd,Shapton Overseas SA,Panama,Alang,India,17-Nov
2017,8306890,Jian Fu,General Cargo,14348,,1990,Palau,,Unknown owners,Unknown,Sunrise Ship Management Co Ltd,Grand Wind Shipping Co Ltd,Marshall Islands,Gadani,Pakistan,17-Nov
2017,8403284,Walid M,General Cargo,5650,,1984,Tanzania ,,Unknown owners,Unknown,Aegir Marine Corp,Aegir Marine Corp,Panama,Alang,India,17-Nov
2017,7709100,Symphony,General Cargo,2816,,1978,Moldova,,Unknown owners,Unknown,Island Flag Shipping LLC,C&O Shipping Lines Co Ltd,St Vincent & The Grenadines,Alang,India,17-Nov
2017,8323563,Melody,Tanker,4509,,1984,Sierra Leone,,Unknown owners,Unknown,Special Wealth Ltd,Special Wealth Ltd,St Vincent & The Grenadines,Xinhui,China,17-Nov
2017,7818561,Hai Fa,Refrigerated Cgo/Fish Carrier,3830,,1978,Panama,,Unknown owners,Unknown,Greatsources Shipping,Hai Yi Shipping Ltd,Hong Kong  ,Zhoushan,China,17-Nov
2017,8002808,Bushra Vi,General Cargo,3720,,1982,Moldova,,Unknown owners,Unknown,Info Market Srl,Reem Shipping Ltd,Marshall Islands,Alang,India,17-Nov
2017,8846838,Esra,Tanker,871,,1978,Tanzania ,,Unknown owners,Unknown,Thallium Navigation Inc,Thallium Navigation Inc,Marshall Islands,Aliaga,Turkey,17-Nov
2017,8880511,Amathus,Fish Carrier,683,,1994,St Kitts & Nevis,,Unknown owners,Unknown,Garani investments Ltd,Garani investments Ltd,Cyprus,Unknown,Latvia,17-Dec
2017,7904774,Blue Ice,Refrigerated Cargo,2969,,1980,Comoros,,Unknown owners,Unknown,AFK Universal Consulting,AFK Universal Consulting,Russia,Alang,India,17-Dec
2017,9138886,Sendora,Tanker,41401,,1996,St Kitts & Nevis,Panama,Unknown owners,Unknown,Hanan Shipping LLC,Cannes Management Corp,Panama,Alang,India,17-Dec
2017,8866955,Gerda,General Cargo,2457,,1970,Comoros,,Unknown owners,Unknown,Talex Ltd,Talex Ltd,Dominica,Aliaga,Turkey,17-Dec
2017,7613002,Red Eagle,Tug,978,,1976,Moldova,,Unknown owners,Unknown,ATA Tug & Salvage Inc,Black Eagle Offshore Services,Marshall Islands,Alang,India,17-Dec
2017,9084475,Aurelia,Tanker,2728,,1993,Tanzania ,,Unknown owners,Unknown,Etihad Engineering & Marine,Etihad Engineering & Marine,United Arab Emirates,Alang,India,17-Dec
2017,8127359,Atlas Venture,Tug/Supply Ship (O.R.S.V.),939,,1982,Togo,Comoros,Unknown owners,Unknown,Atlas Marine Shipping LLC,Atlas Ship Investment Inc,St Vincent & The Grenadines,Mumbai,India,17-Dec
2017,7403108,Shaheen III,General Cargo,1596,,1974,Tanzania ,,Unknown owners,Unknown,Sea Jewel Commercial Brokers,Mohammed ASM,United Arab Emirates,Alang,India,17-Dec
2017,7332488,Rola,Tanker,2114,,1974,Jamaica,Palau,Unknown owners,Unknown,Pilin Ship Management Ltd-EGY,Sealsand Holding Ltd,United Kingdom,Aliaga,Turkey,17-Dec
2017,8122696,Gold Star,General Cargo,2872,,1982,Tanzania ,,Unknown owners,Unknown,Sea Star Marine Services LLC,Shaheen Shipping Lines Inc,Panama,Alang,India,17-Dec
2017,8704171,Anita-I,Bulk Carrier,41173,,1990,St Kitts & Nevis,Liberia,Unknown owners,Unknown,Unknown owners,Cullan Maritime S.A. ,Panama,Chittagong,Bangladesh,17-Jan
2017,9013282,Jas Express,Bulk Carrier With Container Capacity,17726,,1992,Panama,,Unknown owners,Unknown,Unknown owners,Golden Trade Shipping Incorporated ,India,Alang,India,17-May
2017,7375868,Verano,Trawler,3110,,1975,Russia,,Nuevo Mar Company Limited ,Vanuatu,Nuevo Mar Company Limited ,Nuevo Mar Company Limited ,Vanuatu,Alang,India,17-Apr
2017,8114699,Ria,Tanker,31186,,1982,St Kitts & Nevis,Venezuela,PDVSA,Venezuela,PDV Marina SA,PDV Marina SA,Venezuela,Alang,India,17-Dec
2017,8123169,Ever 1,Tug/Supply Ship (O.R.S.V.),1309,,1982,St Kitts & Nevis,Panama,Haduco,Vietnam,Hai Duong Co Ltd,Dang Development Investment,British Virgin Islands,Alang,India,17-Nov
2017,7911088,Raven,Tug/Supply Ship (O.R.S.V.),1608,,1980,St Kitts & Nevis,Panama,Haduco,Vietnam,Hai Duong Co Ltd,Translord Enterprises Inc,Panama,Alang,India,17-Nov
2017,9050668,Global,Bulk Carrier,38479,,1994,Palau,Vietnam,VINALINES,Vietnam,VINALINES,VINALINES,Vietnam,Gadani,Pakistan,17-Feb
2017,9140554,Vinalines Trader I,Bulk Carrier,36592,,1997,St Kitts & Nevis,Vietnam,VINALINES,Vietnam,VINALINES,VINALINES,Vietnam,Gadani,Pakistan,17-Nov
2018,7519294,Nereida,General Cargo,6917,3293,1978,,,Nereida Shipping & Forwarding Agency,Albania,Adriatic Sea Transport Shpk,Adriatic Sea Transport Shpk,Albania,Alang,India,18-Mar
2018,7623930,Seahorse Standard,Supply Ship (O.R.S.V.),2090,1991,1981,,Australia,DMS Maritime Pty Ltd,Australia,DMS Maritime Pty Ltd,DMS Maritime Pty Ltd,Australia,Alang,India,18-May
2018,8600856,Norfolk Guardian,General Cargo,1598,933,1987,,,Malcolm Burns Reid,Australia,Aranui Shipping Ltd,Norfolk Island Shipping NZ Ltd,New Zealand,Alang,India,18-Oct
2018,7321611,Capricorn J,Tug/Supply Ship (O.R.S.V.),986,993,1973,,,Nass AA,Bahrain,Nass AA,GULFCORP,Bahrain,Alang,India,18-Apr
2018,7723510,Salvanita,Tug,657,500,1977,,,Nass AA,Bahrain,Oil Marketing Corp BSC,Gulf Dragon Trading Co WLL,Bahrain,Gadani,Pakistan,18-Apr
2018,8413253,Akij Glory,Bulk Carrier,24487,7362,1985,,,Alunited Maritime Business,Bangladesh,Akij Shipping Line Ltd,Akij Shipping Line Ltd,Bangladesh,Chittagong,Bangladesh,18-Jan
2018,8209614,Ganga,General Cargo,5505,2649,1983,,Bangladesh,HRC Shipping Ltd,Bangladesh,HRC Shipping Ltd,HRC Shipping Ltd,Bangladesh,Chittagong,Bangladesh,18-Jan
2018,8321096,Crystal Sapphire,Bulk Carrier,28739,10246,1986,,,Crystal Navigations Ltd,Bangladesh,Marine Agency Services Ltd,Bay Navigations Ltd,Bangladesh,Chittagong,Bangladesh,18-Feb
2018,8323214,Ocean Pride,Bulk Carrier,21941,7639,1986,,,Ocean Merit Pte Ltd,Bangladesh,Kay Ship Management & Services,Ocean Merit Pte Ltd,Bangladesh,Chittagong,Bangladesh,18-Apr
2018,5300481,Rongdhonu,Hospital Ship,555,,1957,,,Friendship,Bangladesh,Friendship,Friendship,Bangladesh,Chittagong,Bangladesh,18-Sep
2018,8804725,Courcheville,Liquefied Gas Tanker,19719,10151,1989,,,CMB SA,Belgium,Exmar NV,Exmar Shipping BVBA,Belgium,Alang,India,18-Jan
2018,9158147,S Jean,Tanker,81148,24910,1998,,Greece,CMB SA,Belgium,Euronav NV,Euronav NV,Belgium,Chittagong,Bangladesh,18-Jul
2018,9160229,S Romuald,Tanker,81148,24914,1998,,Greece,CMB SA,Belgium,Euronav NV,Euronav NV,Belgium,Alang,India,18-Sep
2018,7413921,Haddad 1,General Cargo,1092,,1976,,Bolivia,Haddad Shipping Company SA,Belize,Haddad Shipping Co SA,Haddad Shipping Co SA,Belize,Aliaga,Turkey,18-Jan
2018,8751100,Ed Holt,"Platform, Jack-Up (Self-Elev.)",5781,7464,1981,,,Borr Drilling Ltd,Bermuda,Oil & Natural Gas Corp Ltd,Paragon Offshore Drilling LLC,"Hong Kong, China",Alang,India,18-Nov
2018,9046019,Ore Fabrica,Ore Trans-Shipment Ship,154978,44362,1993,,,Vale SA,Brazil,Vale SA,Seamar Shipping Corp,Liberia,Alang,India,18-Jan
2018,5284211,Ras X,Fpso,27643,17241,1959,,Panama,PETROBRAS,Brazil,PETROBRAS,PETROBRAS,Brazil,Alang,India,18-Feb
2018,8802923,Ore Vitoria,Ore Carrier,116427,26695,1989,,,Vale SA,Brazil,Vale SA,Seamar Shipping Corp,Liberia,Chittagong,Bangladesh,18-Jul
2018,8753653,Petro X,"Platform, Semi-Submersible",21503,18406,1975,,Unknown,PETROBRAS,Brazil,PETROBRAS,Petrobras Netherlands BV,Netherlands,Alang,India,18-Nov
2018,8754114,Bras Xxiii,"Platform, Semi-Submersible",20404,,1985,,,PETROBRAS,Brazil,PETROBRAS,Petrobras Netherlands BV,Netherlands,Aliaga,Turkey,18-Dec
2018,8102531,Everest 02,Tug/Supply Ship (O.R.S.V.),1316,1309,1982,,,Dang Development Investment LLC,British Virgin Islands,Hai Duong Co Ltd,Dang Development Investment,United States Of America,Chittagong,Bangladesh,18-Feb
2018,9011076,Velda,Tanker,52525,15936,1992,,,Vista Shipping,British Virgin Islands,Fides Ship Management LLC,Aetna Maritime Inc-MAI,Marshall Islands,Chittagong,Bangladesh,18-Apr
2018,8127048,C Hunter,Tug/Supply Ship (O.R.S.V.),1398,,1982,,,Teamleader Investing Limited,British Virgin Islands,Teamleader Investing Ltd,Teamleader Investing Ltd,"Virgin Islands, British",Niteroi,Brazil,18-Dec
2018,7121633,Bebatik,Liquefied Gas Tanker,48612,19858,1972,,,Brunei Govt,Brunei,STASCO,Brunei Shell Tankers Sdn Bhd,Brunei,Jiangyin,China,18-May
2018,7347768,Belanak,Liquefied Gas Tanker,48612,20200,1975,,,Brunei Govt,Brunei,STASCO,Brunei Shell Tankers Sdn Bhd,Brunei,Jiangyin,China,18-Jun
2018,8116984,Brightway,General Cargo,8351,3855,1983,,,Credo-Plus Navigation Limited,Bulgaria,Credo-Plus Navigation Ltd,Brightway Distribution Ltd,Belize,Gadani,Pakistan,18-Feb
2018,8012853,Polaris,Liquefied Gas Tanker,2323,1691,1981,,,Bulmarket Shipping Ltd,Bulgaria,Bulmarket Shipping Ltd,Bulmarket Shipping Ltd,Bulgaria,Aliaga,Turkey,18-Dec
